Unnamed: 0,log_price,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,host_response_rate,instant_bookable,latitude,longitude,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,room_type_importance,pool,gym,air,parking,kitchen,tv,number_of_amenities,bed_type_importance,cancellation_policy_importance,rent_cost_index,lux,view,distance_from_most_expensive
16170,5.181783550292085,Apartment,Entire home/apt,6,1.0,Real Bed,strict,True,LA,True,True,100.0,False,34.14934083775103,-118.13638810189124,Pasadena,0,,91101,2.0,2.0,3,False,True,True,True,True,True,25,2,3,2500,False,False,11915.933215551526
19885,3.555348061489413,House,Shared room,1,2.0,Real Bed,strict,True,LA,True,False,100.0,True,33.98657670768317,-118.46145504777408,Marina Del Rey,21,85.0,90015,1.0,1.0,1,False,False,True,False,True,False,16,2,3,2500,False,False,11944.496231933621
43685,3.688879454113936,House,Private room,2,1.0,Real Bed,flexible,True,LA,True,False,100.0,False,33.97521304193978,-117.95343860486928,,13,94.0,91745,1.0,1.0,2,False,False,True,True,True,False,18,2,1,2500,False,False,11926.783053682462
2672,4.007333185232471,Condominium,Private room,2,1.0,Real Bed,flexible,True,LA,True,True,90.0,False,34.172984963728034,-118.6011401241345,Woodland Hills/Warner Center,8,100.0,91367,1.0,1.0,2,True,False,True,True,True,True,21,2,1,2500,False,False,11930.650246666533
6262,5.700443573390688,Apartment,Entire home/apt,6,2.0,Real Bed,strict,True,LA,True,True,99.0,False,34.10290221187243,-118.3279230961692,Hollywood,4,90.0,90028,2.0,3.0,3,True,True,True,True,True,True,28,2,3,2500,False,True,11927.742212803934
70823,7.408530566894625,Villa,Entire home/apt,10,6.0,Real Bed,strict,True,LA,True,True,100.0,False,34.09373705900513,-118.42043962851982,Bel Air/Beverly Crest,0,,90210,5.0,5.0,3,True,False,True,True,True,True,21,2,3,2500,False,False,11932.08544154276
60153,3.912023005428147,House,Private room,2,1.0,Real Bed,flexible,True,DC,True,True,100.0,False,38.94704634967419,-77.03126712068885,16th Street Heights,4,100.0,20011,1.0,1.0,2,False,False,True,True,True,True,20,2,1,2127,False,False,9197.47202786577
65703,4.584967478670572,Apartment,Private room,1,1.0,Real Bed,strict,True,LA,True,False,100.0,False,34.050514070170514,-118.4217430527847,Westside,0,,90025,1.0,1.0,2,False,False,True,True,True,True,9,2,3,2500,False,False,11936.529664798216
56865,4.976733742420574,Apartment,Entire home/apt,8,1.0,Real Bed,strict,True,LA,True,True,100.0,True,34.04622572214626,-118.25397415587908,Downtown,15,96.0,90014,1.0,3.0,3,False,True,True,False,True,True,26,2,3,2500,False,False,11930.76733564357
32383,4.248495242049359,Apartment,Entire home/apt,4,1.0,Real Bed,flexible,True,Chicago,True,True,100.0,False,41.93431380875085,-87.69589864126905,Logan Square,15,99.0,nan,1.0,1.0,3,False,True,True,True,False,True,19,2,1,1900,False,False,9435.2110821941
1930,5.298317366548036,Apartment,Private room,2,1.0,Real Bed,flexible,False,LA,True,False,,False,34.175398708151185,-118.532827870796,Encino,0,,91356,1.0,1.0,2,False,False,False,False,False,False,1,2,1,2500,False,False,11927.904293167385
23738,4.553876891600541,Apartment,Private room,2,1.5,Real Bed,flexible,True,LA,True,False,100.0,False,34.097264257319665,-118.36412646961791,Hollywood,3,100.0,90046,1.0,1.0,2,False,False,True,True,True,True,22,2,1,2500,False,False,11929.651455688252
41569,5.298317366548036,Apartment,Entire home/apt,3,1.0,Real Bed,flexible,True,LA,True,True,100.0,False,34.099849116305144,-118.36102036230228,Hollywood,0,,90046,1.0,2.0,3,True,False,True,False,True,True,14,2,1,2500,False,True,11929.274064218736
71043,4.0943445622221,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,100.0,True,33.971579392587806,-117.91476539952907,,1,100.0,91748,1.0,1.0,2,False,False,True,True,True,True,18,2,3,2500,False,False,11925.702675380717
4328,4.382026634673881,Apartment,Private room,1,1.0,Real Bed,flexible,True,LA,True,False,100.0,True,34.02877634318769,-118.41357180220528,Mar Vista,0,,90034,1.0,1.0,2,True,False,True,False,True,True,16,2,1,2500,False,False,11938.439317975779
70769,4.219507705176107,Apartment,Entire home/apt,2,1.0,Real Bed,flexible,True,LA,True,True,70.0,False,34.0612650791344,-118.30202117165231,Mid-Wilshire,3,,9004,1.0,1.0,3,True,False,False,False,True,True,16,2,1,2500,False,False,11931.017352076484
22494,5.010635294096256,House,Entire home/apt,2,1.0,Real Bed,moderate,True,LA,True,True,100.0,False,34.11220559568826,-118.28603875109846,Los Feliz,0,,90027,1.0,1.0,3,False,False,True,True,True,True,16,2,2,2500,False,False,11925.249159972853
573,3.912023005428147,House,Private room,2,1.0,Real Bed,flexible,False,LA,True,True,100.0,False,34.229460526315854,-118.5810313409056,Winnetka,3,93.0,91306,1.0,1.0,2,False,False,False,False,False,False,2,2,1,2500,False,False,11924.16436441297
40695,4.060443010546419,Hostel,Shared room,8,1.0,Real Bed,flexible,False,LA,True,True,50.0,False,34.018046937309144,-118.48439740131867,Santa Monica,0,,nan,1.0,5.0,1,False,False,True,True,False,False,13,2,1,2500,False,False,11942.139263000872
66826,3.912023005428147,Apartment,Entire home/apt,1,1.0,Real Bed,flexible,False,LA,True,True,,False,34.166737557867535,-118.3882777199383,North Hollywood,0,,91601,0.0,1.0,3,False,False,False,False,False,False,1,2,1,2500,False,False,11923.476723058398
49808,4.605170185988092,Apartment,Entire home/apt,2,1.0,Real Bed,moderate,True,Chicago,True,True,100.0,False,41.9495187242627,-87.64585078184462,Lakeview,10,98.0,60613,1.0,1.0,3,False,False,True,False,True,True,14,2,2,1900,False,True,9431.440454043674
66750,4.653960350157523,Apartment,Entire home/apt,3,1.0,Real Bed,moderate,True,Chicago,True,False,100.0,True,41.95243183276257,-87.66571115426883,Lakeview,10,100.0,60613,1.0,1.0,3,False,False,True,False,True,True,10,2,2,1900,False,True,9432.124420641816
35014,3.688879454113936,House,Private room,2,1.0,Real Bed,flexible,False,LA,True,True,100.0,False,33.99455211125671,-117.94256198896863,,2,100.0,91745,1.0,1.0,2,False,False,True,True,True,True,22,2,1,2500,False,False,11924.414685028858
27756,4.897839799950911,Apartment,Entire home/apt,2,1.0,Real Bed,flexible,True,LA,True,True,91.0,True,34.102785034581515,-118.30815661066472,Hollywood,105,91.0,90027,1.0,1.0,3,False,False,False,False,False,False,3,2,1,2500,False,False,11927.024048320949
20574,3.912023005428147,Apartment,Private room,2,1.0,Real Bed,flexible,False,LA,True,False,,False,34.029235211867395,-117.81095682138012,,0,,nan,1.0,1.0,2,True,False,True,True,True,True,21,2,1,2500,False,True,11915.96294060126
44594,3.8918202981106265,Tent,Private room,1,2.0,Real Bed,moderate,False,LA,True,True,99.0,False,34.08598148445243,-118.3132252970916,Hollywood,32,94.0,90038,1.0,1.0,2,False,False,True,False,True,False,19,2,2,2500,False,False,11928.919323869135
67456,4.043051267834549,House,Private room,2,1.0,Real Bed,moderate,True,LA,True,False,100.0,True,34.18133047315998,-118.53291162473153,Encino,53,94.0,91335,1.0,1.0,2,False,False,True,True,True,True,15,2,2,2500,False,False,11927.303566158453
56822,2.995732273553992,House,Private room,1,1.0,Real Bed,flexible,True,LA,True,True,100.0,True,34.081540728582105,-117.74309572120208,,26,93.0,91767,1.0,1.0,2,False,False,False,False,False,False,2,2,1,2500,False,False,11908.112601115978
48375,5.010635294096256,House,Private room,2,1.5,Real Bed,flexible,False,DC,True,True,,False,38.89081609476622,-76.98344297691331,Kingman Park,1,100.0,nan,1.0,1.0,2,False,False,True,False,True,True,13,2,1,2127,False,False,9198.975590347154
40425,3.6635616461296463,Apartment,Private room,2,1.0,Real Bed,flexible,True,Chicago,True,True,100.0,False,41.9058884916355,-87.68979318169846,Humboldt Park,37,98.0,60622,1.0,1.0,2,False,False,True,False,True,False,17,2,1,1900,False,False,9437.501249937515
54294,5.298317366548036,Apartment,Entire home/apt,4,1.0,Real Bed,moderate,True,DC,True,False,100.0,False,38.91576325319255,-77.01905017732929,Shaw,0,,20001,2.0,2.0,3,False,False,True,False,True,False,16,2,2,2127,False,True,9199.18887889841
31751,4.8283137373023015,House,Private room,2,1.0,Real Bed,moderate,False,LA,True,False,100.0,False,34.13832803963017,-117.99085205548836,Monrovia,0,,91016,1.0,2.0,2,False,False,True,True,True,True,22,2,2,2500,False,False,11911.636060801995
23568,4.700480365792417,House,Private room,3,1.0,Real Bed,flexible,True,LA,True,True,100.0,True,34.1193142467191,-118.06009330483064,Arcadia,0,,91007,1.0,2.0,2,True,False,True,True,True,False,17,2,1,2500,False,False,11916.145410471901
31672,4.23410650459726,Apartment,Private room,2,1.0,Real Bed,flexible,True,LA,True,False,96.0,False,34.105645953708674,-118.31792219220392,Hollywood Hills,0,,90068,1.0,1.0,2,True,True,True,True,True,False,17,2,1,2500,False,False,11927.093984375764
52937,5.068904202220232,Apartment,Entire home/apt,5,1.5,Real Bed,moderate,True,LA,True,True,100.0,False,34.066015483841014,-118.3930219999532,West Hollywood,14,91.0,90212,1.0,2.0,3,False,False,True,True,True,True,22,2,2,2500,False,False,11933.894575006334
30374,4.248495242049359,Condominium,Private room,2,1.0,Real Bed,strict,True,LA,True,False,90.0,False,34.14816969384602,-118.12528333509157,Pasadena,5,80.0,91106,1.0,1.0,2,False,False,True,False,True,False,14,2,3,2500,False,False,11915.639864393079
34876,4.07753744390572,Apartment,Private room,2,1.0,Real Bed,strict,True,LA,True,True,95.0,False,34.06289098768113,-118.29646486403335,Mid-Wilshire,12,67.0,90020,1.0,1.0,2,False,False,True,False,True,True,26,2,3,2500,False,False,11930.646620450801
21423,4.605170185988092,Apartment,Private room,3,1.0,Real Bed,flexible,True,LA,True,False,,True,34.15908414785852,-118.40847475692352,Valley Village,0,,91607,1.0,1.0,2,True,True,True,True,True,True,27,2,1,2500,False,False,11924.998457282913
19110,4.897839799950911,Apartment,Entire home/apt,2,1.0,Real Bed,strict,True,LA,True,True,100.0,True,34.06059741863055,-118.28939931686917,Mid-Wilshire,46,100.0,90010,1.0,1.0,3,True,True,True,True,True,True,29,2,3,2500,False,True,11930.618364289245
28024,3.555348061489413,Villa,Private room,2,1.0,Real Bed,strict,False,LA,True,True,100.0,True,34.011907210487706,-117.87273341247956,West Covina,2,100.0,91789,1.0,1.0,2,False,False,True,True,False,False,12,2,3,2500,False,False,11920.038258911016
63984,4.976733742420574,Loft,Entire home/apt,5,1.0,Real Bed,strict,True,LA,True,True,100.0,True,34.06146718526607,-118.245591459001,Downtown,69,87.0,90012,0.0,2.0,3,True,True,True,True,True,True,31,2,3,2500,False,True,11928.908222825146
65701,4.174387269895637,Apartment,Private room,2,1.0,Real Bed,strict,False,LA,True,False,86.0,False,33.992734594991,-118.47018799927488,Venice,7,97.0,90291,1.0,1.0,2,False,False,False,False,True,True,12,2,3,2500,False,False,11944.191445870772
71751,3.4339872044851463,House,Private room,2,1.0,Real Bed,flexible,True,LA,True,True,100.0,True,33.989834275762384,-117.86110685090686,,0,,91789,1.0,1.0,2,False,False,True,True,True,True,26,2,1,2500,False,False,11921.839293180663
27491,3.6635616461296463,House,Private room,2,1.0,Real Bed,flexible,False,LA,True,False,100.0,False,34.179620590120486,-118.66164153234384,West Hills,0,,91367,1.0,1.0,2,True,False,True,False,False,False,7,2,1,2500,False,False,11932.184091587053
56559,6.549650742233808,House,Entire home/apt,7,3.0,Real Bed,strict,True,LA,True,True,100.0,False,34.11484300202088,-118.28656566200362,Los Feliz,5,100.0,90027,3.0,4.0,3,True,False,True,True,True,True,17,2,3,2500,False,False,11925.000592813494
72293,4.02535169073515,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,100.0,False,34.455582655176386,-118.5352344799707,,48,96.0,91354,1.0,1.0,2,False,False,True,False,True,True,14,2,3,2500,False,False,11899.467889237974
19951,4.955827057601262,Apartment,Entire home/apt,4,1.0,Real Bed,moderate,True,LA,True,True,100.0,False,34.09611912738307,-118.3510266499175,Hollywood,65,97.0,90046,1.0,1.0,3,False,False,True,True,True,True,22,2,2,2500,False,False,11929.284599969236
33074,3.8918202981106265,Apartment,Private room,2,1.0,Real Bed,strict,True,Chicago,True,True,100.0,False,41.85235793959448,-87.63790089455826,South Loop/Printers Row,4,95.0,60616,1.0,1.0,2,False,False,True,True,True,False,17,2,3,1900,False,False,9439.8817075277
64892,4.48863636973214,Townhouse,Private room,2,1.0,Real Bed,moderate,False,DC,True,False,100.0,False,38.93241959520854,-77.02702691829812,16th Street Heights,59,98.0,nan,1.0,1.0,2,False,False,True,False,True,True,21,2,2,2127,False,False,9198.364790281099
11634,4.043051267834549,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,100.0,False,34.034099659563765,-118.318232866995,Mid-City,3,100.0,90018,1.0,1.0,2,False,False,True,True,True,True,17,2,3,2500,False,True,11934.377904283381
43931,4.0943445622221,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,0.0,False,34.04942338693038,-118.3664739461777,South Robertson,10,90.0,90019,1.0,1.0,2,False,False,False,True,True,True,19,2,3,2500,False,False,11934.602340968906
11512,3.912023005428147,Apartment,Private room,3,1.0,Real Bed,moderate,True,Chicago,True,False,100.0,True,41.89419108109074,-87.67857033486557,Ukrainian Village,10,96.0,60612,1.0,1.0,2,False,False,True,True,True,True,17,2,2,1900,False,False,9438.027472675229
29047,5.416100402204419,Apartment,Entire home/apt,5,2.0,Real Bed,strict,False,LA,True,False,91.0,True,34.07175293582721,-118.35657421806742,Mid-Wilshire,0,,90036,2.0,2.0,3,True,True,True,True,True,True,23,2,3,2500,False,False,11931.96664540325
16937,3.912023005428147,House,Private room,4,1.0,Real Bed,strict,True,LA,True,True,100.0,False,34.206152680348914,-118.4801273368352,Van Nuys,14,100.0,91406,1.0,2.0,2,True,False,True,True,True,True,25,2,3,2500,False,False,11922.84226582
4786,4.74493212836325,House,Entire home/apt,6,1.0,Real Bed,moderate,True,LA,True,True,100.0,True,34.070403936557284,-118.12258061308908,Monterey Park,54,88.0,91755,3.0,6.0,3,False,False,True,True,True,True,21,2,2,2500,False,False,11923.435107769368
71833,3.8501476017100575,House,Private room,1,1.0,Real Bed,flexible,False,LA,True,True,100.0,False,33.8746583819572,-118.06614204122214,Cerritos,5,100.0,90703,1.0,1.0,2,False,False,True,True,True,True,22,2,1,2500,False,False,11941.199006380832
8138,3.80666248977032,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,100.0,True,34.09196904576441,-118.21928833573767,Mount Washington,61,97.0,90065,1.0,1.0,2,False,True,True,True,True,True,13,2,3,2500,False,False,11924.83483310658
13193,4.174387269895637,Apartment,Private room,2,1.0,Real Bed,strict,True,LA,True,True,80.0,False,34.085211277985465,-118.356831614183,Mid-Wilshire,54,97.0,90046,1.0,2.0,2,False,False,True,False,True,True,7,2,3,2500,False,False,11930.607817425596
