Unnamed: 0,log_price,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,host_response_rate,instant_bookable,latitude,longitude,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,room_type_importance,pool,gym,air,parking,kitchen,tv,number_of_amenities,bed_type_importance,cancellation_policy_importance,rent_cost_index,lux,view,distance_from_most_expensive
43685,3.688879454113936,House,Private room,2,1.0,Real Bed,flexible,True,LA,True,False,100.0,False,33.97521304193978,-117.95343860486928,La Puente,13,94.0,91745,1.0,1.0,2,False,False,True,True,True,False,18,2,1,2500,False,False,11926.783053682462
71043,4.0943445622221,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,100.0,True,33.971579392587806,-117.91476539952907,La Puente,1,100.0,91748,1.0,1.0,2,False,False,True,True,True,True,18,2,3,2500,False,False,11925.702675380717
35014,3.688879454113936,House,Private room,2,1.0,Real Bed,flexible,False,LA,True,True,100.0,False,33.99455211125671,-117.94256198896863,La Puente,2,100.0,91745,1.0,1.0,2,False,False,True,True,True,True,22,2,1,2500,False,False,11924.414685028858
20574,3.912023005428147,Apartment,Private room,2,1.0,Real Bed,flexible,False,LA,True,False,,False,34.029235211867395,-117.81095682138012,,0,,,1.0,1.0,2,True,False,True,True,True,True,21,2,1,2500,False,True,11915.96294060126
56822,2.995732273553992,House,Private room,1,1.0,Real Bed,flexible,True,LA,True,True,100.0,True,34.081540728582105,-117.74309572120208,,26,93.0,91767,1.0,1.0,2,False,False,False,False,False,False,2,2,1,2500,False,False,11908.112601115978
71751,3.4339872044851463,House,Private room,2,1.0,Real Bed,flexible,True,LA,True,True,100.0,True,33.989834275762384,-117.86110685090686,West Covina,0,,91789,1.0,1.0,2,False,False,True,True,True,True,26,2,1,2500,False,False,11921.839293180665
72293,4.02535169073515,House,Private room,2,1.0,Real Bed,strict,True,LA,True,True,100.0,False,34.455582655176386,-118.5352344799707,,48,96.0,91354,1.0,1.0,2,False,False,True,False,True,True,14,2,3,2500,False,False,11899.467889237974
16092,5.899897353582492,House,Entire home/apt,12,5.0,Real Bed,strict,True,LA,True,True,100.0,False,33.986226203341275,-117.8575448448042,West Covina,25,90.0,91789,6.0,7.0,3,True,False,True,False,True,True,19,2,3,2500,False,True,11922.071263134068
69237,3.912023005428147,House,Private room,1,1.0,Airbed,flexible,False,LA,True,True,100.0,False,34.59732796878139,-118.1523932074338,,2,100.0,93551,1.0,1.0,2,False,False,True,False,True,True,21,1,1,2500,False,False,11871.021414933452
15970,4.0943445622221,House,Private room,2,1.0,Real Bed,flexible,True,LA,True,False,100.0,False,34.012751560315216,-117.80239311035712,,0,,91765,1.0,1.0,2,False,False,False,False,False,False,1,2,1,2500,False,False,11917.311303571832
63372,4.465908118654584,House,Private room,2,1.0,Real Bed,flexible,False,LA,True,True,100.0,False,34.15069069320189,-118.79119529730912,,20,100.0,91301,1.0,1.0,2,False,False,True,True,True,True,14,2,1,2500,False,False,11939.850329663655
55772,4.7791234931115305,Condominium,Entire home/apt,5,1.0,Real Bed,strict,True,LA,True,True,96.0,True,33.98887487386998,-117.91686659024256,La Puente,1,100.0,91748,2.0,3.0,3,True,True,True,True,True,True,25,2,3,2500,False,False,11924.02787221348
69693,3.912023005428147,House,Private room,2,1.0,Real Bed,moderate,True,LA,True,False,100.0,True,34.14127674957266,-117.76823229299272,,3,93.0,91750,1.0,1.0,2,False,False,True,True,True,True,24,2,2,2500,False,False,11903.005896559249
